,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link,day,month,week,year,season
78,2024-05-06,2024-05-06,Run,1036,16.694369049600002,5512,5.502546379145788,2.9091729300882845,10.90404589824,20.6243870976,155.0,14403.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7916125618,Monday,May,19,2024,spring
79,2024-05-06,2024-05-04,Run,720,12.00768573312,3850,5.34441362443331,3.908691988785492,11.22667108992,15.350405875199998,146.0,10087.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7916125597,Monday,May,19,2024,spring
80,2024-05-02,2024-05-02,Run,847,11.96862695424,4470,6.224896603833612,4.20238929650839,9.63869917824,14.277601071359998,153.0,11567.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7908703135,Thursday,May,18,2024,spring
81,2024-05-02,2024-04-30,Run,570,10.18783953792,3741,6.119779239242821,4.627059224131075,9.804268488959998,12.967192719359998,136.0,9692.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7908703123,Thursday,May,18,2024,spring
82,2024-04-22,2024-04-21,Run,1303,21.3419935872,7280,5.685018243458204,3.9786770261671833,10.554045765119998,15.08040623232,152.0,18972.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7887911779,Monday,April,17,2024,spring
83,2024-04-19,2024-04-19,Run,454,7.571625557760001,2345,5.162240018293168,4.314434949892627,11.62285939584,13.90679212032,152.0,6163.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7883348734,Friday,April,16,2024,spring
84,2024-04-13,2024-04-12,Run,760,12.78206987904,3928,5.121683120575836,4.42086962141096,11.7148977792,13.572000287999998,153.0,10329.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7870683457,Saturday,April,15,2024,spring
85,2024-04-08,2024-04-08,Run,712,11.347822506240002,3719,5.462604638908772,4.324513590630716,10.9837728,13.8743960256,152.0,9725.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7861709272,Monday,April,15,2024,spring
87,2024-04-06,2024-04-06,Run,654,10.40719312512,3874,6.204217370555953,2.414698162729658,9.67083777792,24.8477885568,0.0,9405.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/7857140713,Saturday,April,14,2024,spring
88,2024-04-06,2024-04-04,Run,1238,20.041482700800003,6661,5.539269416607016,4.324513590630716,10.83175416576,13.8743960256,152.0,17396.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7858287121,Saturday,April,14,2024,spring
89,2024-04-06,2024-04-02,Run,986,16.6723210368,5490,5.488248628012408,4.1928698898433145,10.93245081984,14.309997166079995,139.0,14350.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7858285702,Saturday,April,14,2024,spring
90,2024-03-31,2024-03-31,Run,371,5.83710678144,2027,5.788644317187624,5.032205668893661,10.36512487296,11.92319517312,155.0,5276.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7846632253,Sunday,March,13,2024,spring
91,2024-03-30,2024-03-30,Run,705,11.32966910592,3827,5.629436590312574,4.775548297940031,10.658250789119998,12.56400376704,151.0,9981.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7844946844,Saturday,March,13,2024,spring
92,2024-03-30,2024-03-27,Run,380,6.05063454336,2059,5.671049819056709,3.94290468663008,10.58005276416,15.217200472319998,149.0,5366.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7844946811,Saturday,March,13,2024,spring
93,2024-03-24,2024-03-24,Run,993,16.040573049600003,5567,5.783971605822,4.533915682414698,10.37349346176,13.23360352512,152.0,14487.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7835607313,Sunday,March,12,2024,spring
94,2024-03-24,2024-03-22,Run,829,13.58154369792,4342,5.327773303905194,3.866078352421856,11.26173869568,15.51959620992,153.0,11377.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7835606635,Sunday,March,12,2024,spring
95,2024-03-24,2024-03-20,Run,373,6.05444868864,2068,5.694096476576791,4.172923874572497,10.53722812032,14.37839428608,150.0,5390.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7835606356,Sunday,March,12,2024,spring
96,2024-03-24,2024-03-15,Run,641,10.692883872,3411,5.316973872584108,4.545044440467668,11.28460747392,13.201207430399998,151.0,8940.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7835606209,Sunday,March,12,2024,spring
97,2024-03-12,2024-03-12,Run,518,8.51518394496,2797,5.474541179511652,4.410337379702537,10.95982576128,13.604396382719996,151.0,7312.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7813553053,Tuesday,March,11,2024,spring
98,2024-03-10,2024-03-10,Run,368,5.876567896320001,1986,5.6316735266046285,4.789274387576553,10.65403430784,12.528002741759998,152.0,5179.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7809882874,Sunday,March,10,2024,spring
103,2024-01-12,2024-01-12,Run,949,12.981596348160002,5640,7.241397737214666,4.556222908216019,8.28565930368,13.16879524224,152.0,14439.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7712692117,Friday,January,2,2024,winter
105,2024-01-11,2024-01-11,Run,329,5.086492646400001,1722,5.642758788674143,4.476674968185795,10.6330967424,13.40279385984,153.0,4491.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7711073803,Thursday,January,2,2024,winter
109,2024-01-11,2024-01-09,Run,635,9.740136130560002,3801,6.503395172194385,4.604049848882526,9.22595072256,13.032001002239998,148.0,9802.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7709839720,Thursday,January,2,2024,winter
